track,mode,category,value
Track01903,reset,mean_duration_ratio_pitched,0.532743
Track01903,reset,precision,0.037344
Track01903,reset,recall,0.116648
Track01903,reset,f1,0.0565756
Track01903,reset,mean_onset_delta_ticks,2.29542
Track01903,reset,mean_offset_delta_ticks,-7.42996
Track01903,reset,mean_duration_ratio,0.59953
Track01906,continuous,n_gt,5120
Track01906,continuous,n_pred,2599
Track01906,continuous,tp_onset,121
Track01906,continuous,tp_offset_ok,121
Track01906,continuous,tp_offset_short,0
Track01906,continuous,tp_offset_long,0
Track01906,continuous,miss_timing_near,479
Track01906,continuous,miss_same_pitch_far,41
Track01906,continuous,miss_octave,132
Track01906,continuous,miss_program_swap,109
Track01906,continuous,miss_no_candidate,4238
Track01906,continuous,fp_timing,401
Track01906,continuous,fp_octave,106
Track01906,continuous,fp_program_swap,118
Track01906,continuous,fp_spurious_near,1775
Track01906,continuous,fp_spurious_far,78
Track01906,continuous,gt_drum,1415
Track01906,continuous,pred_drum,1040
Track01906,continuous,tp_drum,121
Track01906,continuous,miss_drum,1294
Track01906,continuous,fp_drum,919
Track01906,continuous,tp_pitched,0
Track01906,continuous,tp_pitched_offset_ok,0
Track01906,continuous,tp_pitched_offset_short,0
Track01906,continuous,tp_pitched_offset_long,0
Track01906,continuous,mean_offset_delta_ticks_pitched,nan
Track01906,continuous,mean_duration_ratio_pitched,nan
Track01906,continuous,precision,0.0465564
Track01906,continuous,recall,0.0236328
Track01906,continuous,f1,0.0313512
Track01906,continuous,mean_onset_delta_ticks,0
Track01906,continuous,mean_offset_delta_ticks,-7.98347
Track01906,continuous,mean_duration_ratio,0.101407
Track01906,reset,n_gt,5120
Track01906,reset,n_pred,20496
Track01906,reset,tp_onset,564
Track01906,reset,tp_offset_ok,343
Track01906,reset,tp_offset_short,213
Track01906,reset,tp_offset_long,8
Track01906,reset,miss_timing_near,500
Track01906,reset,miss_same_pitch_far,1907
Track01906,reset,miss_octave,49
Track01906,reset,miss_program_swap,42
Track01906,reset,miss_no_candidate,2058
Track01906,reset,fp_timing,14822
Track01906,reset,fp_octave,47
